,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Total_Sales,Average_Sales_Game,Sales_Per_Platform,Average_Sales_Per_Year,SK_Game
13,14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,22.72,1.0,0.7329032258064516,0.5825641025641025,13
14,15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,22.0,1.0,0.7096774193548387,0.5641025641025641,14
15,16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,21.82,1.0,0.7038709677419355,0.5594871794871795,15
16,17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,21.39,0.9995327102803739,0.6900000000000001,0.5487179487179487,16
17,18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,20.810000000000002,1.0000000000000002,0.6712903225806452,0.5335897435897435,17
18,19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,20.62,1.000485201358564,0.6651612903225806,0.5284615384615384,18
19,20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,20.220000000000002,1.0000000000000002,0.6522580645161291,0.5184615384615384,19
20,21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,18.35,0.9994553376906319,0.5919354838709678,0.4707692307692308,20
21,22,Super Mario Land,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,18.14,1.0,0.5851612903225807,0.46512820512820513,21
22,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,17.28,1.0,0.5574193548387097,0.4430769230769231,22
23,24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,16.380000000000003,1.0000000000000002,0.5283870967741936,0.42,23
24,25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,16.150000000000002,1.0000000000000002,0.5209677419354839,0.4141025641025641,24
25,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,15.84,0.9993690851735015,0.5109677419354839,0.4064102564102564,25
26,27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,15.32,1.0,0.4941935483870968,0.39282051282051283,26
27,28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,15.3,1.0,0.49354838709677423,0.3923076923076923,27
28,29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,14.969999999999999,0.9993324432576768,0.48290322580645156,0.3841025641025641,28
29,30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,14.76,1.0,0.4761290322580645,0.37846153846153846,29
30,31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,14.64,1.0,0.47225806451612906,0.37538461538461537,30
31,32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,14.64,1.0,0.47225806451612906,0.37538461538461537,31
32,33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,14.349999999999998,0.9999999999999999,0.46290322580645155,0.3679487179487179,32
33,34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,14.239999999999998,0.9999999999999999,0.45935483870967736,0.36512820512820515,33
34,35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,14.040000000000001,1.000712758374911,0.45290322580645165,0.3597435897435897,34
35,36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,13.740000000000002,1.0007283321194467,0.44322580645161297,0.35205128205128206,35
36,37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,13.52,1.000740192450037,0.4361290322580645,0.3464102564102564,36
37,38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,13.469999999999999,1.0007429420505198,0.434516129032258,0.34512820512820513,37
38,39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,13.100000000000001,1.0000000000000002,0.42258064516129035,0.33589743589743587,38
39,40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,13.04,1.0,0.42064516129032253,0.3343589743589743,39
40,41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,12.730000000000002,1.0000000000000002,0.41064516129032264,0.3264102564102564,40
41,42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,12.280000000000001,1.0008149959250205,0.39612903225806456,0.31461538461538463,41
42,43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,12.21,1.0,0.39387096774193553,0.3130769230769231,42
43,44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,12.14,1.0,0.3916129032258065,0.3112820512820513,43
44,45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,11.989999999999998,1.0008347245409013,0.38677419354838705,0.3071794871794872,44
45,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,11.899999999999999,0.9999999999999999,0.38387096774193546,0.30512820512820515,45
46,47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,11.9,1.0008410428931875,0.3838709677419355,0.3048717948717949,46
47,48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,11.649999999999999,0.9991423670668952,0.37580645161290316,0.298974358974359,47
48,49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,11.52,1.0,0.3716129032258064,0.29538461538461536,48
49,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,11.33,1.0,0.36548387096774193,0.2905128205128205,49
50,51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,11.179999999999998,0.9999999999999999,0.36064516129032254,0.2866666666666667,50
51,52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,11.03,1.0009074410163339,0.3558064516129032,0.2825641025641025,51
52,53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,10.95,1.0,0.3532258064516129,0.28076923076923077,52
53,54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,10.79,1.0,0.3480645161290322,0.27666666666666667,53
54,55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,10.77,1.0,0.34741935483870967,0.27615384615384614,54
55,56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,10.690000000000001,1.0000000000000002,0.3448387096774194,0.2741025641025641,55
56,57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,10.579999999999998,1.0009460737937557,0.3412903225806451,0.27102564102564103,56
57,58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,10.55,1.0,0.3403225806451613,0.27051282051282055,57
58,59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,10.49,1.0,0.33838709677419354,0.268974358974359,58
59,60,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,10.42,1.0,0.3361290322580645,0.2671794871794872,59
60,61,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,10.27,1.0009746588693957,0.33129032258064517,0.2630769230769231,60
61,62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,10.209999999999999,0.9999999999999998,0.3293548387096774,0.2617948717948718,61
62,63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,9.87,0.998987854251012,0.3183870967741935,0.25333333333333335,62
63,64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,9.870000000000001,1.0000000000000002,0.3183870967741936,0.25307692307692303,63
64,65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,9.830000000000002,1.0010183299389004,0.3170967741935484,0.2517948717948718,64
65,66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,9.76,1.0,0.31483870967741934,0.25025641025641027,65
66,67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,9.719999999999999,0.9999999999999998,0.3135483870967742,0.24923076923076926,66
67,68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,9.580000000000002,0.9989572471324298,0.3090322580645162,0.2458974358974359,67
68,69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,9.52,1.0,0.30709677419354836,0.2441025641025641,68
69,70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,9.49,1.0,0.30612903225806454,0.24333333333333335,69
70,71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,9.32,1.0,0.3006451612903226,0.23897435897435898,70
71,72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,9.3,1.0,0.30000000000000004,0.23846153846153847,71
72,73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,9.2,1.0,0.2967741935483871,0.2358974358974359,72
73,74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,9.100000000000001,1.0011001100110013,0.2935483870967742,0.23307692307692307,73
74,75,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,9.02,1.0,0.29096774193548386,0.23128205128205126,74
75,76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,8.84,1.0,0.28516129032258064,0.22666666666666666,75
76,77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,8.77,1.0011415525114156,0.2829032258064516,0.2246153846153846,76
77,78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,8.49,1.0,0.2738709677419355,0.21769230769230768,77
78,79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,8.49,1.0,0.2738709677419355,0.21769230769230768,78
79,80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,8.48,0.9988221436984688,0.2735483870967742,0.21769230769230768,79
80,81,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,8.42,1.0,0.27161290322580645,0.2158974358974359,80
81,82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,8.34,1.0012004801920769,0.26903225806451614,0.21358974358974359,81
82,83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,8.25,1.0012135922330097,0.2661290322580645,0.2112820512820513,82
83,84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,8.11,1.0,0.26161290322580644,0.20794871794871794,83
84,85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,8.09,1.0,0.2609677419354839,0.20743589743589744,84
85,86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,8.05,0.9987593052109182,0.25967741935483873,0.2066666666666667,85
86,87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,8.040000000000001,0.9987577639751553,0.25935483870967746,0.20641025641025643,86
87,88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,7.86,1.0,0.2535483870967742,0.20153846153846156,87
88,89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,7.839999999999999,0.9999999999999999,0.2529032258064516,0.20102564102564102,88
89,90,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,7.8100000000000005,1.0000000000000002,0.25193548387096776,0.20025641025641025,89
90,91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,7.720000000000001,1.0000000000000002,0.24903225806451615,0.19794871794871793,90
91,92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,7.7,1.001300390117035,0.24838709677419354,0.1971794871794872,91
92,93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,7.67,1.0,0.24741935483870967,0.19666666666666666,92
93,94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,7.609999999999999,1.0013157894736842,0.2454838709677419,0.19487179487179487,93
94,95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,7.6,1.0,0.24516129032258063,0.19487179487179487,94
95,96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,7.569999999999999,0.9986807387862796,0.24419354838709675,0.19435897435897437,95
96,97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,7.46,1.0,0.24064516129032257,0.19128205128205128,96
97,98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,7.4399999999999995,0.9986577181208053,0.24,0.19102564102564104,97
98,99,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,7.379999999999999,1.0013568521031206,0.23806451612903223,0.18897435897435896,98
99,100,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,7.34,1.0,0.23677419354838708,0.1882051282051282,99
100,101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,7.319999999999999,1.0013679890560876,0.2361290322580645,0.18743589743589742,100
101,102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,7.289999999999999,0.9986301369863013,0.23516129032258062,0.18717948717948718,101
102,103,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,7.27,1.0,0.23451612903225805,0.1864102564102564,102
103,104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,7.23,1.0,0.23322580645161292,0.1853846153846154,103
104,105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,7.199999999999999,0.9999999999999999,0.23225806451612901,0.18461538461538463,104
105,106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,7.180000000000001,1.0027932960893855,0.23161290322580647,0.1835897435897436,105
106,107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,7.13,1.0,0.23,0.18282051282051281,106
107,108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,7.06,0.9985855728429985,0.22774193548387095,0.1812820512820513,107
108,109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,6.959999999999999,0.9999999999999999,0.22451612903225804,0.17846153846153845,108
109,110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,6.960000000000001,1.0000000000000002,0.2245161290322581,0.17846153846153845,109
110,111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,6.950000000000001,1.0000000000000002,0.22419354838709682,0.1782051282051282,110
111,112,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,6.91,1.0,0.2229032258064516,0.17717948717948717,111
112,113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,6.9,1.0,0.22258064516129034,0.17692307692307693,112
113,114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,6.9,1.0,0.22258064516129034,0.17692307692307693,113
114,115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,6.84,1.0014641288433381,0.22064516129032258,0.17512820512820512,114
115,116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,6.82,0.9985358711566619,0.22,0.17512820512820512,115
116,117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,6.819999999999999,0.9999999999999999,0.21999999999999997,0.17487179487179488,116
117,118,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,6.8100000000000005,1.0000000000000002,0.21967741935483873,0.17461538461538462,117
118,119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,6.77,1.0014792899408285,0.21838709677419355,0.17333333333333334,118
119,120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,6.7299999999999995,0.9999999999999999,0.21709677419354836,0.17256410256410257,119
120,121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,6.720000000000001,1.0000000000000002,0.21677419354838712,0.1723076923076923,120
121,122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,6.69,1.0,0.21580645161290324,0.17153846153846156,121
122,123,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,6.669999999999999,0.9999999999999999,0.2151612903225806,0.17102564102564102,122
123,124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,6.6000000000000005,1.0000000000000002,0.21290322580645163,0.1692307692307692,123
124,125,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,6.6,1.0015174506828528,0.2129032258064516,0.16897435897435897,124
125,126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,6.59,1.0,0.21258064516129033,0.16897435897435897,125
126,127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,6.56,1.0,0.21161290322580645,0.1682051282051282,126
127,128,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,6.499999999999999,0.998463901689708,0.2096774193548387,0.16692307692307692,127
128,129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,6.5,1.0,0.20967741935483872,0.16666666666666666,128
129,130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,6.430000000000001,1.0000000000000002,0.20741935483870969,0.16487179487179487,129
130,131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,6.420000000000001,1.0015600624024963,0.2070967741935484,0.16435897435897437,130
131,132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,6.4,1.0,0.2064516129032258,0.1641025641025641,131
132,133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,6.39,1.0,0.2061290322580645,0.16384615384615384,132
133,134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,6.359999999999999,0.9999999999999999,0.20516129032258063,0.1630769230769231,133
134,135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,6.33,0.998422712933754,0.20419354838709677,0.16256410256410256,134
135,136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,6.31,1.0,0.20354838709677417,0.1617948717948718,135
136,137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,6.29,0.9984126984126984,0.20290322580645162,0.16153846153846155,136
137,138,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,6.28,1.0,0.20258064516129032,0.16102564102564104,137
138,139,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,6.26,0.9984051036682616,0.20193548387096774,0.16076923076923075,138
139,140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,6.24,1.0,0.20129032258064516,0.16,139
140,141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,6.23,0.9983974358974359,0.2009677419354839,0.16,140
141,142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,6.109999999999999,0.9999999999999999,0.19709677419354837,0.15666666666666668,141
142,143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,6.05,1.0,0.19516129032258064,0.15512820512820513,142
143,144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,6.0200000000000005,0.9983416252072969,0.1941935483870968,0.15461538461538463,143
144,145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,6.03,1.0,0.19451612903225807,0.15461538461538463,144
145,146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,6.03,1.0,0.19451612903225807,0.15461538461538463,145
146,147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,5.9799999999999995,0.9983305509181969,0.1929032258064516,0.1535897435897436,146
147,148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,5.95,1.0,0.19193548387096776,0.15256410256410258,147
148,149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,5.92,1.0,0.19096774193548388,0.1517948717948718,148
149,150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,5.85,1.0017123287671232,0.18870967741935482,0.14974358974358973,149
150,151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,5.82,0.9982847341337908,0.18774193548387097,0.1494871794871795,150
151,152,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,5.819999999999999,0.9999999999999999,0.18774193548387094,0.14923076923076925,151
152,153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,5.74,1.0,0.18516129032258066,0.14717948717948717,152
153,154,Cooking Mama,DS,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,5.720000000000001,1.0000000000000002,0.18451612903225809,0.14666666666666667,153
154,155,Destiny,PS4,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,5.66,1.0017699115044247,0.18258064516129033,0.14487179487179488,154
155,156,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,5.580000000000001,1.0000000000000002,0.18000000000000002,0.14307692307692307,155
156,157,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,5.57,1.0,0.17967741935483872,0.14282051282051283,156
157,158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,5.5600000000000005,1.001801801801802,0.17935483870967744,0.1423076923076923,157
